,narrative,start_date,end_date,count,am_count,pm_count,un_count
0,military,2018-12-25,2018-12-26,1218,283,460,475
1,assembly,2018-12-25,2018-12-26,6,6,0,0
2,guaido/legitimate,2018-12-25,2018-12-26,55,11,34,10
3,maduro/legitimate,2018-12-25,2018-12-26,317,13,304,0
4,protests,2018-12-25,2018-12-26,285,214,9,62
5,arrests,2018-12-25,2018-12-26,269,211,10,48
6,crisis,2018-12-25,2018-12-26,824,435,105,284
7,other/anti_socialism,2018-12-25,2018-12-26,165,92,61,12
8,military,2018-12-26,2018-12-27,1824,453,679,692
9,assembly,2018-12-26,2018-12-27,3,2,1,0
10,guaido/legitimate,2018-12-26,2018-12-27,118,32,40,46
11,maduro/legitimate,2018-12-26,2018-12-27,819,7,812,0
12,protests,2018-12-26,2018-12-27,267,123,60,84
13,arrests,2018-12-26,2018-12-27,457,400,5,52
14,crisis,2018-12-26,2018-12-27,930,524,79,327
15,other/anti_socialism,2018-12-26,2018-12-27,292,131,127,34
16,military,2018-12-27,2018-12-28,2381,556,1142,683
17,assembly,2018-12-27,2018-12-28,6,5,0,1
18,guaido/legitimate,2018-12-27,2018-12-28,182,67,94,21
19,maduro/legitimate,2018-12-27,2018-12-28,613,19,594,0
20,protests,2018-12-27,2018-12-28,763,301,19,443
21,arrests,2018-12-27,2018-12-28,271,234,4,33
22,crisis,2018-12-27,2018-12-28,2161,1509,96,556
23,other/anti_socialism,2018-12-27,2018-12-28,844,537,290,17
24,military,2018-12-28,2018-12-29,5529,1268,3430,831
25,assembly,2018-12-28,2018-12-29,0,0,0,0
26,guaido/legitimate,2018-12-28,2018-12-29,123,43,43,37
27,maduro/legitimate,2018-12-28,2018-12-29,686,24,662,0
28,protests,2018-12-28,2018-12-29,460,296,64,100
29,arrests,2018-12-28,2018-12-29,201,147,1,53
30,crisis,2018-12-28,2018-12-29,2381,1702,32,647
31,other/anti_socialism,2018-12-28,2018-12-29,599,394,199,6
32,military,2018-12-29,2018-12-30,8584,1156,6377,1051
33,assembly,2018-12-29,2018-12-30,3,2,1,0
34,guaido/legitimate,2018-12-29,2018-12-30,120,46,44,30
35,maduro/legitimate,2018-12-29,2018-12-30,386,9,376,1
36,protests,2018-12-29,2018-12-30,2664,2329,160,175
37,arrests,2018-12-29,2018-12-30,487,433,0,54
38,crisis,2018-12-29,2018-12-30,1391,781,24,586
39,other/anti_socialism,2018-12-29,2018-12-30,279,104,157,18
40,military,2018-12-31,2019-01-01,2090,533,1144,413
41,assembly,2018-12-31,2019-01-01,22,17,0,5
42,guaido/legitimate,2018-12-31,2019-01-01,147,43,92,12
43,maduro/legitimate,2018-12-31,2019-01-01,456,9,446,1
44,protests,2018-12-31,2019-01-01,709,318,124,267
45,arrests,2018-12-31,2019-01-01,491,451,1,39
46,crisis,2018-12-31,2019-01-01,1218,583,51,584
47,other/anti_socialism,2018-12-31,2019-01-01,804,668,60,76
48,military,2019-01-01,2019-01-02,2075,533,1153,389
49,assembly,2019-01-01,2019-01-02,9,8,0,1
50,guaido/legitimate,2019-01-01,2019-01-02,856,738,76,42
51,maduro/legitimate,2019-01-01,2019-01-02,187,17,167,3
52,protests,2019-01-01,2019-01-02,285,185,20,80
53,arrests,2019-01-01,2019-01-02,119,109,0,10
54,crisis,2019-01-01,2019-01-02,1354,980,38,336
55,other/anti_socialism,2019-01-01,2019-01-02,150,109,29,12
56,military,2019-01-02,2019-01-03,3358,1018,1422,918
57,assembly,2019-01-02,2019-01-03,39,35,2,2
58,guaido/legitimate,2019-01-02,2019-01-03,368,263,86,19
59,maduro/legitimate,2019-01-02,2019-01-03,223,5,216,2
60,protests,2019-01-02,2019-01-03,293,102,44,147
61,arrests,2019-01-02,2019-01-03,257,208,2,47
62,crisis,2019-01-02,2019-01-03,1408,963,86,359
63,other/anti_socialism,2019-01-02,2019-01-03,138,87,27,24
64,military,2019-01-03,2019-01-04,4711,910,1108,2693
65,assembly,2019-01-03,2019-01-04,45,40,2,3
66,guaido/legitimate,2019-01-03,2019-01-04,317,118,175,24
67,maduro/legitimate,2019-01-03,2019-01-04,387,12,375,0
68,protests,2019-01-03,2019-01-04,355,207,40,108
69,arrests,2019-01-03,2019-01-04,433,347,1,85
70,crisis,2019-01-03,2019-01-04,1522,353,55,1114
71,other/anti_socialism,2019-01-03,2019-01-04,225,165,11,49
72,military,2019-01-04,2019-01-05,3568,1559,777,1232
