,narrative,start_date,end_date,count
0,military,2018-12-25,2018-12-29,11019
1,assembly,2018-12-25,2018-12-29,18
2,guaido/legitimate,2018-12-25,2018-12-29,489
3,maduro/legitimate,2018-12-25,2018-12-29,2462
4,protests,2018-12-25,2018-12-29,1796
5,arrests,2018-12-25,2018-12-29,1218
6,crisis,2018-12-25,2018-12-29,6344
7,other/anti_socialism,2018-12-25,2018-12-29,1913
8,military,2018-12-26,2018-12-30,18382
9,assembly,2018-12-26,2018-12-30,13
10,guaido/legitimate,2018-12-26,2018-12-30,555
11,maduro/legitimate,2018-12-26,2018-12-30,2534
12,protests,2018-12-26,2018-12-30,4193
13,arrests,2018-12-26,2018-12-30,1440
14,crisis,2018-12-26,2018-12-30,6917
15,other/anti_socialism,2018-12-26,2018-12-30,2028
16,military,2018-12-28,2019-01-01,21494
17,assembly,2018-12-28,2019-01-01,82
18,guaido/legitimate,2018-12-28,2019-01-01,498
19,maduro/legitimate,2018-12-28,2019-01-01,1987
20,protests,2018-12-28,2019-01-01,6576
21,arrests,2018-12-28,2019-01-01,1618
22,crisis,2018-12-28,2019-01-01,6637
23,other/anti_socialism,2018-12-28,2019-01-01,2752
24,military,2018-12-29,2019-01-02,18030
25,assembly,2018-12-29,2019-01-02,91
26,guaido/legitimate,2018-12-29,2019-01-02,1230
27,maduro/legitimate,2018-12-29,2019-01-02,1490
28,protests,2018-12-29,2019-01-02,6398
29,arrests,2018-12-29,2019-01-02,1532
30,crisis,2018-12-29,2019-01-02,5604
31,other/anti_socialism,2018-12-29,2019-01-02,2304
32,military,2018-12-30,2019-01-03,12802
33,assembly,2018-12-30,2019-01-03,127
34,guaido/legitimate,2018-12-30,2019-01-03,1481
35,maduro/legitimate,2018-12-30,2019-01-03,1327
36,protests,2018-12-30,2019-01-03,4009
37,arrests,2018-12-30,2019-01-03,1301
38,crisis,2018-12-30,2019-01-03,5620
39,other/anti_socialism,2018-12-30,2019-01-03,2163
40,military,2018-12-31,2019-01-04,12291
41,assembly,2018-12-31,2019-01-04,124
42,guaido/legitimate,2018-12-31,2019-01-04,1703
43,maduro/legitimate,2018-12-31,2019-01-04,1289
44,protests,2018-12-31,2019-01-04,1660
45,arrests,2018-12-31,2019-01-04,1310
46,crisis,2018-12-31,2019-01-04,5536
47,other/anti_socialism,2018-12-31,2019-01-04,1333
48,military,2019-01-01,2019-01-05,13755
49,assembly,2019-01-01,2019-01-05,728
50,guaido/legitimate,2019-01-01,2019-01-05,1881
51,maduro/legitimate,2019-01-01,2019-01-05,1286
52,protests,2019-01-01,2019-01-05,1372
53,arrests,2019-01-01,2019-01-05,1227
54,crisis,2019-01-01,2019-01-05,5445
55,other/anti_socialism,2019-01-01,2019-01-05,1151
56,military,2019-01-02,2019-01-06,13876
57,assembly,2019-01-02,2019-01-06,2112
58,guaido/legitimate,2019-01-02,2019-01-06,4558
59,maduro/legitimate,2019-01-02,2019-01-06,1935
60,protests,2019-01-02,2019-01-06,2080
61,arrests,2019-01-02,2019-01-06,1396
62,crisis,2019-01-02,2019-01-06,5068
63,other/anti_socialism,2019-01-02,2019-01-06,1509
64,military,2019-01-03,2019-01-07,13178
65,assembly,2019-01-03,2019-01-07,2446
66,guaido/legitimate,2019-01-03,2019-01-07,7272
67,maduro/legitimate,2019-01-03,2019-01-07,2627
68,protests,2019-01-03,2019-01-07,2679
69,arrests,2019-01-03,2019-01-07,2144
70,crisis,2019-01-03,2019-01-07,4445
71,other/anti_socialism,2019-01-03,2019-01-07,1618
72,military,2019-01-04,2019-01-08,11938
73,assembly,2019-01-04,2019-01-08,3410
74,guaido/legitimate,2019-01-04,2019-01-08,7555
75,maduro/legitimate,2019-01-04,2019-01-08,4214
76,protests,2019-01-04,2019-01-08,3592
77,arrests,2019-01-04,2019-01-08,2367
78,crisis,2019-01-04,2019-01-08,5342
79,other/anti_socialism,2019-01-04,2019-01-08,1860
80,military,2019-01-05,2019-01-09,14611
81,assembly,2019-01-05,2019-01-09,3579
82,guaido/legitimate,2019-01-05,2019-01-09,7887
83,maduro/legitimate,2019-01-05,2019-01-09,7098
84,protests,2019-01-05,2019-01-09,5338
85,arrests,2019-01-05,2019-01-09,2734
86,crisis,2019-01-05,2019-01-09,5862
87,other/anti_socialism,2019-01-05,2019-01-09,1570
88,military,2019-01-06,2019-01-10,32545
89,assembly,2019-01-06,2019-01-10,2631
90,guaido/legitimate,2019-01-06,2019-01-10,5189
91,maduro/legitimate,2019-01-06,2019-01-10,11881
92,protests,2019-01-06,2019-01-10,17624
93,arrests,2019-01-06,2019-01-10,3170
94,crisis,2019-01-06,2019-01-10,8961
95,other/anti_socialism,2019-01-06,2019-01-10,1494
96,military,2019-01-07,2019-01-11,62444
97,assembly,2019-01-07,2019-01-11,13115
98,guaido/legitimate,2019-01-07,2019-01-11,8715
99,maduro/legitimate,2019-01-07,2019-01-11,26484
100,protests,2019-01-07,2019-01-11,29573
101,arrests,2019-01-07,2019-01-11,3263
102,crisis,2019-01-07,2019-01-11,13823
103,other/anti_socialism,2019-01-07,2019-01-11,3013
104,military,2019-01-08,2019-01-12,92053
105,assembly,2019-01-08,2019-01-12,24626
106,guaido/legitimate,2019-01-08,2019-01-12,33615
107,maduro/legitimate,2019-01-08,2019-01-12,35414
108,protests,2019-01-08,2019-01-12,46851
109,arrests,2019-01-08,2019-01-12,8689
110,crisis,2019-01-08,2019-01-12,15387
111,other/anti_socialism,2019-01-08,2019-01-12,3420
112,military,2019-01-09,2019-01-13,98936
113,assembly,2019-01-09,2019-01-13,30151
114,guaido/legitimate,2019-01-09,2019-01-13,51253
115,maduro/legitimate,2019-01-09,2019-01-13,35707
116,protests,2019-01-09,2019-01-13,57522
117,arrests,2019-01-09,2019-01-13,9406
118,crisis,2019-01-09,2019-01-13,16029
119,other/anti_socialism,2019-01-09,2019-01-13,3926
120,military,2019-01-10,2019-01-14,98605
121,assembly,2019-01-10,2019-01-14,45827
122,guaido/legitimate,2019-01-10,2019-01-14,63265
123,maduro/legitimate,2019-01-10,2019-01-14,31443
124,protests,2019-01-10,2019-01-14,57314
125,arrests,2019-01-10,2019-01-14,30231
126,crisis,2019-01-10,2019-01-14,25576
127,other/anti_socialism,2019-01-10,2019-01-14,4300
128,military,2019-01-11,2019-01-15,76804
129,assembly,2019-01-11,2019-01-15,44789
130,guaido/legitimate,2019-01-11,2019-01-15,62545
131,maduro/legitimate,2019-01-11,2019-01-15,22884
132,protests,2019-01-11,2019-01-15,66193
133,arrests,2019-01-11,2019-01-15,32721
134,crisis,2019-01-11,2019-01-15,25040
135,other/anti_socialism,2019-01-11,2019-01-15,3669
136,military,2019-01-12,2019-01-16,66725
137,assembly,2019-01-12,2019-01-16,44021
138,guaido/legitimate,2019-01-12,2019-01-16,49124
139,maduro/legitimate,2019-01-12,2019-01-16,19025
140,protests,2019-01-12,2019-01-16,63136
141,arrests,2019-01-12,2019-01-16,28788
142,crisis,2019-01-12,2019-01-16,29176
143,other/anti_socialism,2019-01-12,2019-01-16,4475
144,military,2019-01-13,2019-01-17,69069
145,assembly,2019-01-13,2019-01-17,48357
